\xf1X axis acceleration,Y axis acceleration,Bicep signal,Shoulder signal,Tricep signal,Forearm signal
540,482,6,43,44,16
540,482,5,41,44,16
540,482,5,36,38,17
540,483,5,38,42,17
540,483,5,38,37,18
541,483,5,35,42,18
539,483,5,34,36,16
540,483,5,37,37,16
541,482,4,38,34,15
540,484,5,41,30,14
540,482,5,39,29,14
540,481,5,41,30,14
540,482,5,39,26,13
539,483,5,39,28,13
540,483,6,42,35,13
540,483,5,38,30,12
540,482,5,36,29,13
540,483,5,33,28,13
541,483,5,33,26,13
540,483,5,31,23,13
540,483,5,34,24,12
540,481,5,37,32,13
540,484,5,33,30,13
540,482,4,30,27,14
541,482,6,28,37,13
539,482,5,29,39,13
540,483,5,38,37,12
540,482,6,35,41,12
540,483,5,34,46,13
540,482,5,32,46,13
540,483,5,28,45,13
539,483,5,31,47,12
539,483,6,32,52,13
540,483,5,31,49,12
541,483,5,35,50,13
539,483,5,37,49,13
539,483,5,33,42,13
539,483,5,34,45,13
539,483,5,45,48,14
540,483,4,42,43,14
540,483,5,37,47,15
539,482,5,33,43,14
540,482,5,35,42,14
540,482,6,36,45,14
539,482,5,34,44,13
543,483,5,35,42,13
540,481,5,32,39,13
541,482,5,33,36,13
539,482,5,39,33,14
541,483,5,34,29,13
539,482,6,37,26,14
540,482,5,37,29,15
541,482,5,36,31,17
540,482,5,36,31,17
539,483,5,32,31,16
539,483,4,31,36,14
539,483,5,30,34,14
539,483,5,30,34,14
540,482,5,29,31,13
540,482,5,27,34,13
541,482,5,26,32,13
540,482,5,36,31,13
539,482,6,35,31,13
539,482,6,36,30,13
539,482,6,42,33,13
540,483,6,35,31,12
541,482,5,33,31,12
540,483,6,37,32,13
539,482,5,35,30,13
539,482,6,31,32,13
540,483,6,38,36,12
540,482,6,35,31,12
540,482,6,36,29,13
540,481,6,32,33,13
540,482,6,38,36,12
540,482,6,34,38,13
539,482,5,31,43,13
538,481,5,28,46,13
539,480,5,27,53,13
539,481,5,28,55,13
540,481,5,27,68,12
