8\xfcX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
347,338,417,13,24,41
347,340,419,14,26,41
347,339,418,13,25,43
346,338,418,14,28,46
346,339,418,12,27,45
348,338,418,13,30,42
347,337,418,13,30,40
347,338,418,13,29,35
348,338,417,13,30,35
347,337,419,14,30,32
347,339,418,13,29,30
346,338,418,14,26,30
345,338,418,12,25,27
348,338,418,13,29,27
348,338,418,13,27,26
348,339,417,14,24,25
347,337,417,14,26,26
347,338,418,12,25,26
348,339,419,13,24,26
346,339,418,15,24,26
346,340,419,13,25,24
348,337,420,14,28,27
347,337,418,12,26,27
347,338,417,13,28,28
346,337,417,12,28,35
347,339,417,11,25,39
347,339,419,12,27,42
346,339,417,12,24,40
348,338,418,13,28,37
347,337,418,13,25,36
347,338,419,14,26,34
348,339,417,12,25,42
347,340,416,12,27,41
348,338,419,11,27,46
348,339,418,13,27,45
346,340,418,14,28,48
348,339,419,13,29,51
346,337,418,13,29,55
347,338,417,13,30,58
348,338,417,13,30,59
348,340,418,13,32,59
348,339,419,13,31,61
348,339,419,13,30,63
346,338,417,12,29,65
347,339,419,12,28,64
347,338,419,13,27,61
347,340,419,13,25,58
347,338,417,13,26,56
347,339,418,12,25,50
348,339,419,12,25,48
346,339,419,15,24,44
347,339,420,12,26,42
347,339,418,12,27,40
348,338,419,14,24,36
348,339,417,12,25,35
347,338,417,13,24,33
348,338,419,11,23,33
347,339,418,12,23,31
346,339,418,13,21,32
347,339,419,12,24,36
348,338,418,13,23,41
347,338,417,13,23,43
347,339,417,13,22,43
347,338,416,12,21,39
348,339,419,11,21,37
348,339,418,12,24,35
346,339,418,15,23,32
347,340,419,13,24,42
348,338,419,14,24,46
348,337,418,13,23,42
349,340,417,13,23,40
348,340,417,14,22,39
347,339,417,10,21,40
348,340,417,13,21,44
347,339,419,14,20,41
348,338,418,12,22,44
347,339,417,12,22,44
347,339,419,13,23,47
347,340,416,13,23,48
347,338,417,13,25,45
347,338,418,10,25,45
347,338,418,12,25,45
347,340,418,13,23,41
347,340,418,12,28,40
347,337,419,13,25,39
347,338,419,14,24,38
347,338,416,12,23,38
347,340,419,12,25,35
348,338,417,13,24,34
346,339,418,14,25,35
346,339,418,12,24,33
348,341,419,14,26,32
347,338,418,12,24,32
347,339,419,13,25,32
348,339,416,13,25,33
347,339,417,13,25,35
347,338,417,12,24,39
345,340,419,13,24,40
347,339,419,13,24,37
348,338,417,13,26,35
347,337,419,12,25,32
348,339,417,12,24,30
348,340,417,12,24,33
348,340,417,10,26,38
347,339,418,12,26,50
346,340,418,15,23,44
346,340,418,12,24,45
347,339,418,13,23,48
348,338,418,13,24,48
348,339,418,13,23,50
347,339,416,13,23,52
347,339,418,10,22,52
348,340,418,13,23,55
345,339,417,14,24,58
346,339,418,13,26,59
347,337,418,14,26,60
348,337,418,12,25,55
347,338,417,13,27,52
347,339,416,12,26,49
347,340,419,12,27,48
349,340,418,12,27,48
346,340,419,14,28,49
348,340,418,14,25,46
347,339,419,12,26,45
347,339,418,13,26,45
347,339,416,13,26,42
347,339,417,14,27,40
348,340,418,12,26,39
347,340,418,13,24,42
346,339,418,14,23,40
347,339,419,13,27,39
348,339,418,12,24,37
348,340,419,13,25,43
346,338,417,14,25,47
347,339,419,13,25,47
348,340,419,14,25,45
345,339,418,14,26,41
346,339,418,13,25,39
348,338,418,13,26,37
348,339,419,14,26,36
347,340,417,12,26,43
348,339,417,13,27,54
347,339,418,14,28,44
347,339,418,12,28,48
346,339,417,13,26,50
346,339,419,13,30,53
348,339,418,13,31,54
346,338,419,13,30,54
347,339,418,13,30,56
347,340,416,13,29,58
347,340,419,14,29,62
347,338,418,13,29,64
345,339,418,15,27,63
346,339,418,12,28,61
348,337,418,13,27,57
347,338,419,14,27,56
347,340,417,13,28,56
347,340,417,13,27,54
347,339,419,10,26,53
347,339,419,12,28,53
346,340,418,13,24,56
347,340,419,12,25,46
347,338,419,14,27,42
346,338,418,13,26,43
347,338,417,12,26,43
347,339,418,14,25,41
347,340,418,12,25,46
347,338,418,13,24,46
346,340,418,12,24,47
346,338,418,14,28,47
346,338,419,13,27,50
347,340,418,14,28,54
346,338,418,13,27,62
346,338,417,13,29,62
347,339,419,12,28,64
347,339,418,13,30,65
347,340,418,13,29,61
348,338,419,13,27,58
346,337,419,13,27,58
345,339,418,12,26,68
347,340,415,13,27,67
346,338,421,12,25,57
347,337,418,13,24,58
343,336,418,15,23,63
345,338,419,13,24,65
347,338,419,14,25,66
346,337,419,13,22,68
345,338,418,13,23,68
345,339,417,13,24,72
346,337,418,14,23,72
345,339,418,13,22,72
343,337,418,14,21,72
345,338,419,16,25,70
345,338,418,16,23,67
345,337,417,15,21,65
345,337,417,16,19,62
345,337,416,16,21,61
345,338,418,17,19,60
347,338,418,16,19,62
344,338,419,15,17,60
344,338,419,16,20,58
345,338,418,15,19,55
346,337,418,15,19,55
345,338,418,17,19,55
346,337,417,15,20,54
346,338,419,13,20,51
346,338,419,15,22,53
346,338,418,15,22,53
346,337,418,15,23,51
347,337,418,13,23,51
346,337,419,14,25,52
346,338,416,15,23,54
347,339,417,15,22,57
346,338,418,12,22,59
346,337,418,14,22,61
345,338,418,15,21,58
346,338,419,14,22,55
347,337,419,14,20,54
346,339,418,14,22,52
346,338,418,13,21,63
346,339,418,15,22,53
346,338,418,12,22,45
346,338,418,14,22,51
345,338,418,14,19,54
346,338,419,14,21,56
346,337,418,13,20,58
347,339,418,13,20,60
346,338,417,13,20,59
346,338,418,12,20,60
346,338,418,13,19,61
344,338,419,15,17,60
344,340,418,14,20,59
346,337,417,13,20,56
346,336,419,13,18,49
346,338,417,13,17,44
345,338,417,13,18,36
346,338,418,13,18,28
346,338,419,13,18,24
343,338,419,14,16,22
345,339,418,12,19,23
346,337,418,13,22,30
345,337,418,13,22,38
345,338,416,13,23,47
346,339,417,12,26,59
345,337,419,12,30,70
346,339,418,13,34,85
344,340,419,14,38,95
344,339,418,13,43,105
347,337,418,14,50,118
346,338,418,16,53,129
346,338,418,16,62,143
346,339,418,16,72,154
345,337,418,20,75,166
346,339,416,19,81,176
346,338,419,22,87,182
346,338,418,25,93,193
346,339,417,27,98,205
344,338,418,33,105,216
345,338,419,36,112,227
345,339,418,38,119,237
346,338,418,42,127,232
346,339,417,42,131,263
346,336,419,45,136,289
346,336,419,49,141,280
346,338,418,52,145,268
345,337,419,52,148,263
346,338,419,58,151,258
345,338,417,61,151,253
346,338,416,60,153,248
345,338,417,58,153,242
345,338,417,57,154,237
346,339,418,57,155,234
345,337,418,56,154,231
346,337,418,57,154,230
346,338,419,57,155,230
346,339,419,59,153,228
346,339,418,60,155,228
344,338,417,60,150,226
344,338,419,59,148,224
345,339,418,58,148,220
344,338,419,55,150,217
345,338,418,54,145,212
345,337,418,48,143,208
345,336,418,48,142,204
345,337,419,47,135,199
345,337,418,45,131,196
345,338,419,42,131,193
346,339,419,44,130,188
346,339,417,41,126,184
344,338,417,39,122,179
345,337,417,38,122,176
346,338,416,37,119,169
345,338,418,36,115,162
346,338,419,31,111,150
345,338,418,32,109,144
345,338,419,32,105,137
345,338,417,30,101,136
344,338,418,31,98,132
345,338,419,30,94,129
343,339,418,27,90,124
345,336,419,28,87,109
345,338,418,25,83,141
345,337,418,23,81,140
345,339,418,22,77,121
345,338,418,22,73,101
346,338,417,21,71,85
346,339,418,17,68,73
345,337,418,17,65,63
343,337,418,16,60,54
346,339,418,16,57,45
346,338,418,16,54,38
346,339,419,16,51,31
345,337,416,16,49,25
345,337,417,14,45,21
345,338,418,12,42,19
346,339,419,13,40,19
345,338,418,14,39,16
345,339,419,14,35,15
345,337,419,14,33,14
345,338,418,14,30,15
346,338,417,15,27,16
346,338,418,14,25,16
346,339,419,13,24,20
343,338,418,15,21,23
343,337,419,13,21,26
345,337,418,12,22,31
345,338,418,13,21,34
345,339,418,13,23,40
346,337,417,13,23,45
346,337,418,14,24,45
345,339,418,13,24,51
344,339,419,15,27,53
344,338,418,13,29,61
346,336,417,13,31,70
345,337,418,14,32,72
346,339,417,15,34,75
345,338,417,14,35,78
346,337,418,13,38,76
346,337,418,14,37,80
344,339,418,15,39,81
344,339,419,16,44,94
345,337,419,16,46,74
345,337,418,16,47,65
345,338,417,17,51,77
346,339,418,17,52,88
345,338,419,15,55,94
346,339,418,17,57,101
344,338,418,18,56,104
345,338,418,17,61,107
346,338,418,16,61,111
345,337,418,17,64,113
345,338,418,16,66,115
346,339,419,18,68,116
346,338,417,18,69,115
346,338,417,20,70,113
345,338,418,20,72,109
345,339,418,18,75,108
345,338,418,20,75,107
344,338,418,20,75,106
344,338,418,20,76,102
343,339,418,18,78,100
345,337,419,18,78,96
345,336,419,19,78,94
345,338,417,16,77,92
346,338,418,16,75,92
345,338,419,17,75,90
345,338,419,17,76,89
344,337,418,17,72,87
344,339,418,16,75,85
344,336,418,15,77,85
344,336,418,15,75,82
345,338,417,14,74,81
345,338,417,15,73,86
346,338,419,12,73,90
345,339,418,14,73,86
344,339,418,15,72,81
343,337,419,13,72,79
345,336,418,14,73,75
345,338,418,13,72,71
344,338,418,13,72,76
345,337,417,13,74,73
344,337,418,12,74,63
345,338,418,12,75,65
344,339,418,14,72,71
345,338,418,12,75,77
344,338,418,12,76,80
346,338,419,12,76,81
345,339,417,13,76,85
345,339,416,13,76,86
345,339,419,11,75,88
344,337,418,11,77,91
343,338,418,13,76,90
345,339,418,13,76,90
344,338,419,13,76,84
344,338,418,12,74,79
345,338,418,13,74,76
344,338,418,13,73,69
345,339,418,14,71,65
345,339,418,14,71,59
344,337,417,13,68,54
345,338,418,13,68,49
345,338,418,13,67,44
346,339,419,13,64,39
345,337,417,13,63,35
345,338,418,13,63,29
346,338,418,12,64,27
344,339,419,13,63,25
343,338,418,14,60,23
346,339,418,13,61,24
345,338,418,12,59,25
345,338,418,14,59,24
345,339,418,13,61,24
346,338,418,13,64,21
345,338,418,12,63,20
344,337,419,14,61,19
344,339,418,12,64,17
345,338,418,13,63,15
346,337,418,13,59,14
345,337,416,13,58,14
344,338,417,13,56,12
345,339,418,11,54,11
346,339,418,13,53,20
344,338,418,15,55,35
343,338,419,14,56,48
345,337,418,13,54,40
